DateTime,Kitchen Cabinet,2nd Floor Bedroom,Main Bedroom,Living Room,Outside
44794.50694,25,,,,
44794.54861,25,,,,
44794.59028,25,,,,
44794.63194,25.1,,,,
44794.67361,25.1,,,,
44794.71528,25.1,,,,
44794.75694,25.2,,,,
44794.79861,25.1,,,,
44794.84028,25.2,,,,
44794.88194,25.4,,,,
44794.92361,25.4,,,,
44794.96528,25.4,,,,
44795.00694,25.4,,,,
44795.04861,25.4,,,,
44795.09028,25.3,,,,
44795.13194,25.2,,,,
44795.17361,25.1,,,,
44795.21528,25,,,,
44795.25694,24.8,,,,
44795.29861,24.7,,,,
44795.34028,24.6,,,,
44795.38194,24.5,,,,
44795.42361,24.4,,,,
44795.46528,24.3,,,,
44795.50694,24.4,,,,
44795.54861,24.4,,,,
44795.59028,24.5,,,,
44795.63194,24.5,,,,
44795.67361,24.6,,,,
44795.71528,24.6,,,,
44795.75694,24.6,,,,
44795.79861,24.6,,,,
44795.84028,24.6,,,,
44795.88194,24.6,,,,
44795.92361,24.6,,,,
44795.96528,24.5,,,,
44796.00694,24.4,,,,
44796.04861,24.4,,,,
44796.09028,24.3,,,,
44796.13194,24.2,,,,
44796.17361,24.1,,,,
44796.21528,24.1,,,,
44796.25694,24,,,,
44796.29861,24,,,,
44796.34028,23.9,,,,
44796.38194,23.9,,,,
44796.42361,23.8,,,,
44796.46528,23.8,,,,
44796.50694,23.9,,,,
44796.54861,23.9,,,,
44796.59028,24,,,,
44796.63194,24,,,,
44796.67361,24.1,,,,
44796.71528,24.2,,,,
44796.75694,24.3,,,,
44796.79861,24.4,,,,
44796.84028,24.5,,,,
44796.88194,24.5,,,,
44796.92361,24.5,,,,
44796.96528,24.5,,,,
44797.00694,24.4,,,,
44797.04861,24.4,,,,
44797.09028,24.3,,,,
44797.13194,24.2,,,,
44797.17361,24.1,,,,
44797.21528,24,,,,
44797.25694,24,,,,
44797.29861,23.9,,,,
44797.34028,23.8,,,,
44797.38194,23.8,,,,
44797.42361,23.9,,,,
44797.46528,24,,,,
44797.50694,24.2,,,,
44797.54861,24.3,,,,
44797.59028,24.5,,,,
44797.63194,24.5,,,,
44797.67361,24.5,,,,
44797.71528,24.5,,,,
44797.75694,24.5,,,,
44797.79861,24.6,,,,
44797.84028,24.8,,,,
44797.88194,24.9,,,,
44797.92361,25,,,,
44797.96528,25.1,,,,
44798.00694,25.2,,,,
44798.04861,25.1,,,,
44798.09028,25.1,,,,
44798.13194,25,,,,
44798.17361,24.9,,,,
44798.21528,24.8,,,,
44798.25694,24.7,,,,
44798.29861,24.5,,,,
44798.34028,24.4,,,,
44798.38194,24.3,,,,
44798.42361,24.5,,,,
44798.46528,24.7,,,,
44798.50694,24.6,,,,
44798.54861,24.6,,,,
44798.59028,24.6,,,,
44798.63194,24.7,,,,
44798.67361,24.7,,,,
44798.71528,24.7,,,,
44798.75694,24.8,,,,
44798.79861,24.9,,,,
44798.84028,25.1,,,,
44798.88194,25.2,,,,
44798.92361,25.4,,,,
44798.96528,25.4,,,,
44799.00694,25.4,,,,
44799.04861,25.4,,,,
44799.09028,25.4,,,,
44799.13194,25.3,,,,
44799.17361,24.7,,,,
44799.21528,24.5,,,,
44799.25694,24,,,,
44799.29861,23.7,,,,
44799.34028,23.7,,,,
44799.38194,23.8,,,,
44799.42361,24.1,,,,
44799.46528,24.4,,,,
44799.50694,24.7,,,,
44799.54861,24.7,,,,
44799.59028,24.7,,,,
44799.63194,24.7,,,,
44799.67361,24.8,,,,
44799.71528,24.8,,,,
44799.75694,24.8,,,,
44799.79861,25,,,,
44799.84028,25.2,,,,
44799.88194,25,,,,
44799.92361,24.9,,,,
44799.96528,24.7,,,,
44800.00694,24.5,,,,
44800.04861,24.2,,,,
44800.09028,24,,,,
44800.13194,23.8,,,,
44800.17361,23.6,,,,
44800.21528,23.5,,,,
44800.25694,23.3,,,,
44800.29861,23,,,,
44800.34028,22.9,,,,
44800.38194,23,,,,
44800.42361,23.4,,,,
44800.46528,23.8,,,,
44800.50694,23.8,,,,
44800.54861,23.9,,,,
44800.59028,23.8,,,,
44800.63194,24,,,,
44800.67361,24.2,,,,
44800.71528,24.2,,,,
44800.75694,24,,,,
44800.79861,24,,,,
44800.84028,24,,,,
44800.88194,24.1,,,,
44800.92361,23.8,,,,
44800.96528,23.5,,,,
44801.00694,23.1,,,,
44801.04861,22.7,,,,
44801.09028,22.3,,,,
44801.13194,22,,,,
44801.17361,21.6,,,,
44801.21528,21.2,,,,
44801.25694,21,,,,
44801.29861,20.8,,,,
44801.34028,21,,,,
44801.38194,21.4,,,,
44801.42361,21.5,,,,
44801.46528,21.9,,,,
44801.50694,22.2,,,,
44801.54861,22.6,,,,
44801.59028,22.9,,,,
44801.63194,23.1,,,,
44801.67361,23.3,,,,
44801.71528,23.5,,,,
44801.75694,23.7,,,,
44801.79861,23.8,,,,
44801.84028,23.8,,,,
44801.88194,23.9,,,,
44801.92361,23.9,,,,
44801.96528,23.9,,,,
44802.00694,23.6,,,,
44802.04861,23.2,,,,
44802.09028,23,,,,
44802.13194,22.8,,,,
44802.17361,22.7,,,,
44802.21528,22.5,,,,
44802.25694,22.3,,,,
44802.29861,22.1,,,,
44802.34028,22,,,,
44802.38194,22.2,,,,
44802.42361,22.7,,,,
44802.46528,23.1,,,,
44802.50694,23.5,,,,
44802.54861,23.9,,,,
44802.59028,24.2,,,,
44802.63194,24.7,,,,
44802.67361,24.4,,,,
44802.71528,24.1,,,,
44802.75694,24,,,,
44802.79861,24,,,,
44802.84028,24.1,,,,
44802.88194,24.3,,,,
44802.92361,24.5,,,,
44802.96528,24.8,,,,
44803.00694,25.1,,,,
44803.04861,25.2,,,,
44803.09028,25,,,,
44803.13194,24.9,,,,
44803.17361,24.9,,,,
44803.21528,24.9,,,,
44803.25694,24.9,,,,
44803.29861,24.9,,,,
44803.34028,24.9,,,,
44803.38194,24.9,,,,
44803.42361,24.7,,,,
44803.46528,24.7,,,,
44803.50694,24.7,,,,
44803.54861,24.7,,,,
44803.59028,24.8,,,,
